prod_id,prod_name,customer_review,customer_rating
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","When least you think so, this product will save the day. Just keep it around just in case you need it for something.",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black",Lithium batteries are something new introduced in the market there average developing cost is relatively high but Stallion doesn't compromise on quality and provides us with the best at a low cost.<br />There are so many in built technical assistants that act like a sensor in their particular fort??. The battery keeps my phone charged up and it works at every voltage and a high voltage is never risked.,4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","I purchased this swing for my baby. She is 6 months now and has pretty much out grown it. It is very loud and doesn't swing very well. It is beautiful though. I love the colors and it has a lot of settings, but I don't think it was worth the money.",3
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black",I was looking for an inexpensive desk calcolatur and here it is. It works and does everything I need. Only issue is that it tilts slightly to one side so when I hit any keys it rocks a little bit. Not a big deal.,4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","I only use it twice a week and the results are great. I have used other teeth whitening solutions and most of them, for the same results I would have to use it at least three times a week. Will keep using this because of the potency of the solution and also the technique of the trays, it keeps everything in my teeth, in my mouth.",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black",I'm not sure what this is supposed to be but I would recommend that you do a little more research into the culture of using pipes if you plan on giving this as a gift or using it yourself.,3
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","Pleased with ping pong table. 11 year old and 13 year old having a blast, plus lots of family entertainment too. Plus better than kids sitting on video games all day. A friend put it together. I do believe that was a challenge, but nothing they could not handle",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","Great vitamin C serum... I really like the oil feeling, not too sticky. I used it last week on some of my recent bug bites and it helps heal the skin faster than normal.",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","I've used tide pods laundry detergent for many years,its such a great detergent to use having a nice scent and leaver the cloths smelling fresh.",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","Everybody wants to fall for their promises. But this is a relatively unheard of brand, some even say a non existant company. Look at how amateur their labels and products are. You have to ask yourself if you would trust this kind of amateur stuff? No way! Don't waste your money.",1
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black",Unfortunately they didn't work for me. They made me sick and throw up once of the two times I tried them,1
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","This kettle is a gift for my daughter. She said that it is easy to use. She likes the design of it, so nice and neat.",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","I love this tumbler! Keeps drinks warm or cold for a good period of time, and its very sturdy. I get complements on how sleek it looks all the time, especially because it doesnt leave fingerprints. Highly recommend. Only suggestion when washing the lid, be sure to shake it and dry well to prevent dripping when the lid is on the tumbler.",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","Only giving this 3 stars because it is so cheap. Has a very mild sedative effect, other than that it's pretty useless for stress/anxiety/panic attacks. Save your money ad get some ZenRx. Night and day difference.[[ASIN:B00HBGBRY4 ZenRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","I bought 2 of these in brown for my island. The hydraulic mechanism looks as though it might fail with over use, but otherwise, I really like them. The color is accurate, as is the description. There is some padding, but not much. Definitely not a chair that you would lounge around in, but great for a bar/counter in the kitchen.",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black",wonderful headphones had them now for 5 months and works great also great price and the sound is very clear and loud and soft the the ears love my headphones not to mention that they are sony,4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","Video quality if superb, fits just fine, looks like a real mirror (I believe they enhanced this), my only gripe is I wish they put the cameras not side by side, but one on one side, the other on the other side. I only say this because due to where the left camera is place, there is wasted recording room when you start to turn it towards the driver side. Otherwise very happy with this so far.",4
B00008NG7N,"Targus PAUK10U Ultra Mini USB Keypad, Black","As sling shots go, this is good enough for my purposes. Though, I would have preferred for the handle to be slimmer for better grip.",4
