prod_id,prod_name,site,review_title,customer_review,customer_rating,cleaned_review,is_fake
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Mind-blowing purchase,"Fully satisfied using iphone❤️
But battery drains fast as compared to any other phone..",5.0,fully satisfied using iphone battery drains fast compared phone,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Wonderful,Amezing  camera and all over best phone👌,5.0,amezing camera best phone,1
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Awesome,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.,5.0,switch oneplus iphone stunned camera performance everything perfect iphone,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Fabulous!,Awesome 😎,5.0,awesome,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Must buy!,Using this Iphone 15 from 1month and it has best Camera,5.0,using iphone month best camera,1
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Worth every penny,Awesome photography experience. Battery backup is good . Display is much better than 14 version.,5.0,awesome photography experience battery backup good display much better version,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Value-for-money,Nice photo,4.0,nice photo,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Fabulous!,"So beautiful, so elegant, just a vowww😍❤️",5.0,beautiful elegant vowww,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Good choice,Very nice,4.0,nice,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Excellent,"Awesome product very happy to hold this. Better In hand feel,matte finish. 
Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.

60Hz display is a dealbreaker for some.Its not...",5.0,awesome product happy hold better hand feelmatte finish good camera brighter screen dynamic island usbc great battery life hz display dealbreaker someits,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,Awesome 🔥🔥☺️,5.0,awesome,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,High quality camera😍,5.0,high quality camera,1
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,Nice product,4.0,nice product,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻  in portrait mode and results r here in front of you guys 😍😘",5.0,loved product colour design wow camera amazing clicked first picture grandmother portrait mode results r front guys,1
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,Simply premium.,5.0,simply premium,1
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,Camera Quality Is Improved Loving It,5.0,camera quality improved loving,1
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,I am so happy....,5.0,happy,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,"best camera and battery is also very good 
In love with dynamic Island 
Type-c charging is very fast. 
Overall best phone",5.0,best camera battery also good love dynamic island typec charging fast overall best phone,1
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,I love this phone. The camera is amazing: its I am so happy,5.0,love phone camera amazing happy,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,,Just go for it.Amazing one.Beautiful camera with super fast processor,5.0,go itamazing onebeautiful camera super fast processor,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Worth the money,"Best mobile phone
Camera quality is very nice 
Battery backup is very good 
Sound quality is amazing.",4.0,best mobile phone camera quality nice battery backup good sound quality amazing,1
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Brilliant,"Totally happy!
Camera 5
Battery 5 
Display 5
Design 5",5.0,totally happy camera battery display design,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Classy product,Nice ❤️,5.0,nice,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Super!,Great experience,5.0,great experience,0
MOBGTAGPTB3VS24W,Apple Iphone 15 Black 128 Gb,flipkart,Simply awesome,for me its 10 out of 10✨,5.0,,1
