prod_id,prod_name,site,review_title,customer_review,customer_rating,cleaned_review,is_fake
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,"Happy with the purchase 
Good quality product and working well",5.0,happy purchase good quality product working well,1
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Good 👌👌,4.0,good,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Good Product 👍,5.0,good product,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Too good but no Horn 📯 other wise we are happy 😊,5.0,good horn wise happy,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Amazing product 👌....just go for it,5.0,amazing product go,1
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Supper a good q,5.0,supper good q,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,"Happy with the purchase 
Working well and looks good",5.0,happy purchase working well looks good,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Music was not audible. Other than that product is ok,2.0,music audible product ok,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Not working properly don't buy,1.0,working properly dont buy,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Train is not working at,1.0,train working,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Worth every penny,"Very good product 
Thank you 
Flipkart😊",5.0,good product thank flipkart,1
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Decent product,Not bad,3.0,bad,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Perfect product!,Nice one,5.0,nice one,1
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Worth every penny,"Very good product 
Thank you 
Flipkart😊",5.0,good product thank flipkart,1
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Decent product,Not bad,3.0,bad,0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Perfect product!,Nice one,5.0,nice one,1
